1##1	سمو اله رحم رحم
28##50	جوب علم تبع هوی ضلل تبع هوی غیر هدی اله اله هدی قوم ظلم
28##51	وصل قول ذكر
28##52	اتی كتب قبل امن
28##53	تلو قول امن حقق ربب كون قبل سلم
28##54	اتی اجر مرر صبر درا حسن سوا رزق نفق
28##55	سمع لغو عرض قول عمل عمل سلم بغی جهل
28##56	هدی حبب اله هدی شیا علم هدی
28##57	قول تبع هدی خطف ارض مكن حرم امن جبی ثمر كلل شیا رزق لدن كثر علم
28##58	هلك قری بطر عیش سكن سكن بعد قلل كون ورث
28##59	كون ربب هلك قری بعث امم رسل تلو ایی كون هلك قری اهل ظلم
28##60	اتی شیا متع حیی دنو زین عند اله خیر بقی عقل
28##61	وعد وعد حسن لقی متع متع حیی دنو یوم قوم حضر
28##62	یوم ندو قول شرك كون زعم
28##63	قول حقق قول ربب غوی غوی غوی برا كون عبد
28##64	قول دعو شرك دعو جوب رای عذب كون هدی
28##65	یوم ندو قول جوب رسل
28##66	عمی نبا سال
28##67	توب امن عمل صلح عسی كون فلح
28##68	ربب خلق شیا خیر كون خیر سبح اله علو شرك
28##69	ربب علم كنن صدر علن
28##70	اله اله حمد اول اخر حكم رجع
28##71	قول رای جعل اله لیل سرمد یوم قوم اله غیر اله اتی ضوا سمع
28##72	قول رای جعل اله نهر سرمد یوم قوم اله غیر اله اتی لیل سكن بصر
28##73	رحم جعل لیل نهر سكن بغی فضل شكر
28##74	یوم ندو قول شرك كون زعم
28##75	نزع كلل امم شهد قول هات برهن علم حقق اله ضلل كون فری
28##76	كون قوم بغی اتی كنز فتح نوا عصب اول قوی قول قوم فرح اله حبب فرح
28##77	بغی اتی اله دور اخر نسی نصب دنو حسن حسن اله بغی فسد ارض اله حبب فسد
28##78	قول اتی علم عند علم اله هلك قبل قرن شدد قوی كثر جمع سال ذنب جرم
28##79	خرج قوم زین قول رود حیی دنو مثل اتی حظظ عظم
28##80	قول اتی علم ثوب اله خیر امن عمل صلح لقی صبر
28##81	خسف دور ارض كون فای نصر دون اله كون نصر
28##82	صبح منی كون قول اله بسط رزق شیا عبد قدر منن اله خسف فلح كفر
28##83	دور اخر جعل رود علو ارض فسد عقب وقی
28##84	جیا حسن خیر جیا سوا جزی عمل سوا كون عمل
28##85	فرض قرا ردد عود قول ربب علم جیا هدی ضلل بین
28##86	كون رجو لقی كتب رحم ربب كون ظهر كفر
28##87	صدد ایی اله بعد نزل دعو ربب كون شرك
28##88	دعو اله اله اخر اله كلل شیا هلك وجه حكم رجع
29##1	الٓمٓ
29##2	حسب نوس ترك قول امن فتن
29##3	فتن قبل علم اله صدق علم كذب
29##4	حسب عمل سوا سبق سوا حكم
29##5	كون رجو لقی اله اجل اله اتی سمع علم
29##6	جهد جهد نفس اله غنی علم
29##7	امن عمل صلح كفر سوا جزی حسن كون عمل
29##8	وصی انس ولد حسن جهد شرك لیس علم طوع رجع نبا كون عمل
29##9	امن عمل صلح دخل صلح
29##10	نوس قول امن اله اذی اله جعل فتن نوس عذب اله جیا نصر ربب قول كون لیس اله علم صدر علم
29##11	علم اله امن علم نفق
29##12	قول كفر امن تبع سبل حمل خطا حمل خطا شیا كذب
29##13	حمل ثقل ثقل ثقل سال یوم قوم كون فری
29##14	رسل قوم لبث الف سنو خمس عوم اخذ طوف ظلم
29##15	نجو صحب سفن جعل ایی علم
29##16	قول قوم عبد اله وقی خیر كون علم
29##17	عبد دون اله وثن خلق افك عبد دون اله ملك رزق بغی عند اله رزق عبد شكر رجع
29##18	كذب كذب امم قبل رسل بلغ بین
29##19	رای كیف بدا اله خلق عود اله یسر
29##20	قول سیر ارض نظر كیف بدا خلق اله نشا نشا اخر اله كلل شیا قدر
29##21	عذب شیا رحم شیا قلب
29##22	عجز ارض سمو دون اله ولی نصر
29##23	كفر ایی اله لقی یاس رحم عذب الم
29##24	كون جوب قوم قول قتل حرق نجو اله نور ایی قوم امن
29##25	قول اخذ دون اله وثن ودد بین حیی دنو یوم قوم كفر بعض بعض لعن بعض بعض اوی نور نصر
29##26	امن قول هجر ربب عزز حكم
29##27	وهب جعل ذرر نبا كتب اتی اجر دنو اخر صلح
29##28	قول قوم اتی فحش سبق احد علم
29##29	اتی رجل قطع سبل اتی ندو نكر كون جوب قوم قول اتی عذب اله كون صدق
29##30	قول ربب نصر قوم فسد
29##31	جیا رسل بشر قول هلك اهل قری اهل كون ظلم
29##32	قول قول علم نجو اهل مرا كون غبر
29##33	جیا رسل سوا ضیق ذرع قول خوف حزن نجو اهل مرا كون غبر
29##34	نزل اهل قری رجز سمو كون فسق
29##35	ترك ایی بین قوم عقل
29##36	اخو قول قوم عبد اله رجو یوم اخر عثو ارض فسد
29##37	كذب اخذ رجف صبح دور جثم
29##38	عود بین سكن زین شطن عمل صدد سبل كون بصر
29##39	جیا بین كبر ارض كون سبق
29##40	كلل اخذ ذنب رسل حصب اخذ صیح خسف ارض غرق كون اله ظلم كون نفس ظلم
29##41	مثل اخذ دون اله ولی مثل عنكب اخذ بیت وهن بیت بیت عنكب كون علم
29##42	اله علم دعو دون شیا عزز حكم
29##43	مثل ضرب نوس عقل علم
29##44	خلق اله سمو ارض حقق ایی امن
29##45	تلو وحی كتب قوم صلو صلو نهی فحش نكر ذكر اله كبر اله علم صنع
29##46	جدل اهل كتب حسن ظلم قول امن نزل نزل اله اله وحد سلم
29##47	نزل كتب اتی كتب امن امن جحد ایی كفر
29##48	كون تلو قبل كتب خطط یمن ریب بطل
29##49	ایی بین صدر اتی علم جحد ایی ظلم
29##50	قول نزل ایی ربب قول ایی عند اله نذر بین
29##51	كفی نزل كتب تلو رحم ذكر قوم امن
29##52	قول كفی اله بین بین شهد علم سمو ارض امن بطل كفر اله خسر
29##53	عجل عذب اجل سمو جیا عذب اتی بغت شعر
29##54	عجل عذب حوط كفر
29##55	یوم غشو عذب فوق تحت رجل قول ذوق كون عمل
29##56	عبد امن ارض وسع عبد
29##57	كلل نفس ذوق موت رجع
29##58	امن عمل صلح بوا جنن غرف جری تحت نهر خلد نعم اجر عمل
29##59	صبر ربب وكل
29##60	دبب حمل رزق اله رزق سمع علم
29##61	سال خلق سمو ارض سخر شمس قمر قول اله انی افك
29##62	اله بسط رزق شیا عبد قدر اله كلل شیا علم
29##63	سال نزل سمو موه حیی ارض بعد موت قول اله قول حمد اله كثر عقل
29##64	حیی دنو لهو لعب دور اخر حیی كون علم
29##65	ركب فلك دعو اله خلص دین نجو برر شرك
29##66	كفر اتی متع علم
29##67	رای جعل حرم امن خطف نوس حول بطل امن نعم اله كفر
29##68	ظلم فری اله كذب كذب حقق جیا لیس ثوی كفر
29##69	جهد هدی سبل اله حسن
30##1	الٓمٓ
30##2	غلب
30##3	دنو ارض بعد غلب غلب
30##4	بضع سنو اله امر قبل بعد فرح امن
30##5	نصر اله نصر شیا عزز رحم
30##6	وعد اله خلف اله وعد كثر نوس علم
30##7	علم ظهر حیی دنو اخر غفل
30##8	فكر نفس خلق اله سمو ارض بین حقق اجل سمو كثر نوس لقی ربب كفر
30##9	سیر ارض نظر كیف كون عقب قبل كون شدد قوی ثور ارض عمر كثر عمر جیا رسل بین كون اله ظلم كون نفس ظلم
30##10	كون عقب سوا سوا كذب ایی اله كون هزا
30##11	اله بدا خلق عود رجع
30##12	یوم قوم سوع بلس جرم
30##13	كون شرك شفع كون شرك كفر
30##14	یوم قوم سوع فرق
30##15	امن عمل صلح روض حبر
30##16	كفر كذب ایی لقی اخر عذب حضر
30##17	سبح اله حین مسو حین صبح
30##18	حمد سمو ارض عشو حین ظهر
30##19	خرج حیی موت خرج موت حیی حیی ارض بعد موت خرج
30##20	ایی خلق ترب بشر نشر
30##21	ایی خلق نفس زوج سكن جعل بین ودد رحم ایی قوم فكر
30##22	ایی خلق سمو ارض خلف لسن لون ایی علم
30##23	ایی نوم لیل نهر بغی فضل ایی قوم سمع
30##24	ایی رای برق خوف طمع نزل سمو موه حیی ارض بعد موت ایی قوم عقل
30##25	ایی قوم سمو ارض امر دعو دعو ارض خرج
30##26	سمو ارض كلل قنت
30##27	بدا خلق عود هون مثل علو سمو ارض عزز حكم
30##28	ضرب مثل نفس ملك یمن شرك رزق سوی خوف خوف نفس فصل ایی قوم عقل
30##29	تبع ظلم هوی غیر علم هدی ضلل اله نصر
30##30	قوم وجه دین حنف فطر اله فطر نوس بدل خلق اله دین قوم كثر نوس علم
30##31	نوب وقی قوم صلو كون شرك
30##32	فرق دین كون شیع كلل حزب فرح
30##33	مسس نوس ضرر دعو ربب نوب ذوق رحم فرق ربب شرك
30##34	كفر اتی متع علم
30##35	نزل سلط كلم كون شرك
30##36	ذوق نوس رحم فرح صوب سوا قدم یدی قنط
30##37	رای اله بسط رزق شیا قدر ایی قوم امن
30##38	اتی قرب حقق سكن بنی سبل خیر رود وجه اله فلح
30##39	اتی ربو ربو مول نوس ربو عند اله اتی زكو رود وجه اله ضعف
30##40	اله خلق رزق موت حیی شرك فعل شیا سبح علو شرك
30##41	ظهر فسد برر بحر كسب یدی نوس ذوق بعض عمل رجع
30##42	قول سیر ارض نظر كیف كون عقب قبل كون كثر شرك
30##43	قوم وجه دین قوم قبل اتی یوم ردد اله صدع
30##44	كفر كفر عمل صلح نفس مهد
30##45	جزی امن عمل صلح فضل حبب كفر
30##46	ایی رسل روح بشر ذوق رحم جری فلك امر بغی فضل شكر
30##47	رسل قبل رسل قوم جیا بین نقم جرم كون حقق نصر امن
30##48	اله رسل روح ثور سحب بسط سمو كیف شیا جعل كسف رای ودق خرج خلل صوب شیا عبد بشر
30##49	كون قبل نزل قبل بلس
30##50	نظر اثر رحم اله كیف حیی ارض بعد موت حیی موت كلل شیا قدر
30##51	رسل روح رای صفر ظلل بعد كفر
30##52	سمع موت سمع صمم دعو ولی دبر
30##53	هدی عمی ضلل سمع امن ایی سلم
30##54	اله خلق ضعف جعل بعد ضعف قوی جعل بعد قوی ضعف شیب خلق شیا علم قدر
30##55	یوم قوم سوع قسم جرم لبث غیر سوع كون افك
30##56	قول اتی علم امن لبث كتب اله یوم بعث یوم بعث كون علم
30##57	نفع ظلم عذر عتب
30##58	ضرب نوس قرا كلل مثل جیا ایی قول كفر بطل
30##59	طبع اله قلب علم
30##60	صبر وعد اله حقق خفف یقن
31##1	الٓمٓ
31##2	ایی كتب حكم
31##3	هدی رحم حسن
31##4	قوم صلو اتی زكو اخر یقن
31##5	هدی ربب فلح
31##6	نوس شری لهو حدث ضلل سبل اله غیر علم اخذ هزا عذب هون
31##7	تلو ایی ولی كبر سمع اذن وقر بشر عذب الم
31##8	امن عمل صلح جنن نعم
31##9	خلد وعد اله حقق عزز حكم
31##10	خلق سمو غیر عمد رای لقی ارض رسو مید بثث كلل دبب نزل سمو موه نبت كلل زوج كرم
31##11	خلق اله رای خلق دون ظلم ضلل بین
31##12	اتی حكم شكر اله شكر شكر نفس كفر اله غنی حمد
31##13	قول بنی وعظ بنی شرك اله شرك ظلم عظم
31##14	وصی انس ولد حمل امم وهن وهن فصل عوم شكر ولد صیر
31##15	جهد شرك لیس علم طوع صحب دنو عرف تبع سبل نوب رجع نبا كون عمل
31##16	بنی كون ثقل حبب خردل كون صخر سمو ارض اتی اله اله لطف خبر
31##17	بنی قوم صلو امر عرف نهی نكر صبر صوب عزم امر
