,Finglish,Persian
361,dastet dard nakonad arros e golam.,دستت درد نکنه عروس گلم.
1092,va age heliyome baadkonakaa ghable residan be aabshaar khaali beshe.,و اگه هلیوم بادکنکا قبل رسیدن به ابشار خالی بشه
1323,zendegiye vaagheiye shomaa zamaani ast ke kaari baraaye kasi anjaam dahid ke tavaane jobraane mohebate shomaa raa nadaashte baashad.,زندگی واقعی شما زمانی است که کاری برای کسی انجام دهید که توان جبران محبت شما را نداشته باشد
1374,haalaa do baraabaresh konid.,حالا دو برابرش کنید
1224,porsid: maajeraaye kaarhaaye khoodemaan raa minevisid?,پرسید :ماجرای کارهای خودمان را می نویسید ؟
1005,be reiset ke oonjaa vaastaade begoo.,به رئیست که اونجا واستاده بگو
228,"faghat mikham begam behesh, bashe?",فقط ميخام بگمش ، باشه؟
802,khoob hadeaghal lebaas khoobi ast,خوب ، حداقل لباس خوبيه
1699,"dar naa omidiye kaamel, yek maghaale khaandam dar morede farhange mohite kaare rasmi va riz khoshoonat haa.",در ناامیدی کامل، یک مقاله خواندم در مورد فرهنگ محیط کار سمی و ریزخشونتها
1577,"na, too daftar kaare oon.",.نه ، تو دفتر کار اون
441,ta ghabl e in ke hame chiz kharab beshe behtare ke ye fekr e aaghelne bokonid.,تا قبل اینکه همه چیز خراب بشه بهتره یه فکر عاقلانه بکنیم.
1513,"maa ide haaye riz o dorosht niyaaz daarim, ide haaye mahali va jahaani.",ما ایدههای ریز و درشت نیاز داریم، ایدههای محلی و جهانی
723,haalaa adam ta'aadol ghodrat paaydaar shode ast ziraa maa baa jamaavari etelaa'aat shakhsi va estefade az aanhaa dar sathi ke ghaabel tasavor nist movaafeghat kardeim,حالا، عدم تعادل قدرت پایدار شده است، زیرا ما با جمعآوری اطلاعات شخصی و استفاده از آنها در سطحی که قابل تصور نیست موافقت کردهایم
821,bi adabi rooye ahsaasaat maa angize maa amalkard maa tasir migozaarad va hamintor raftaar maa baa digaraan,بی ادبی روی احساسات ما، انگیزهٔ ما، عملکرد ما تاثیر میگذارد و همینطور رفتار ما با دیگران
1070,javaanaan 25 darsade jamiyat hastand.,جوانان ۲۵ درصد جمعیت هستند
1830,balaa?? na .. ghaziye chize digeiye. goosh bedin. hame goosh tiz mikonand.,بلا ؟؟ نه.. قضیه چیز دیگه ایه. گوش بدین. همه گوش تیز می کنند
1354,age khoshet nemiyaad dars bekhooni va biyaay sar kelaas khob beshin too khoonat.,اگه خوشت نمیاد درس بخونی و بیای سرکلاس خب بشین تو خونهت
1033,aazmaayeshe shishe zede goloole dar saale 1930 milaadi 1309 khorshidi.,آزمایش شیشه ضدگلوله در سال ۱۹۳۰ میلادی ۱۳۰۹ خورشیدی
353,pas bedoun e cafein mikhoram.,پس بدون کافئين مي خورم
410,"zalil namiri parvane, fekr konam behesh bar khord.",ذلیل نمیری پروانه فکر کنم بهش بر خورد.
363,aya man yek ahmagh hastam?,آیا من يه احمق هستم؟
175,har yek chandin zaban khareji balad boodand.,هر یک چندین زبان خارجی بلد بودند
1451,"saaheb joon, naaraahat nabaashin.",صاحب جون، ناراحت نباشین
828,shohar daarad jozaam ke nadaarad,شوهر داره جذام که نداره.
1529,pooreye loobiyaa khord behem.,پوره ی لوبیا خورد بهم
1167,aashpaz koochoolooye man chi baraam pokhte?,آشپز کوچلوی من چی برام پخته؟
1714,age alaan shoharjaan injaa bood migoft: man o in hame khoshbakhti mahaale.,اگه الان شوهرجان اینجا بود میگفت: من و این همه خوشبختی محاله
1554,va be manzoore fahme aan az tamaame zavaayaa va be manzoore anjaame kaamel va doroste yek kaar.,و به منظور فهم آن از تمامی زوایا و به منظورانجام کامل و درست یک کار
1098,khosh be sa'aadate zani ke aroose khaanevaade shomaa she.,خوش به سعادت زنی که عروس خانواده شما شه.
192,asiaban goft tou ke chenin mostajabodave hasti doa kon gandomat ard shavad.,اسیابان گفت: تو که چنین مستجاب الدعوه هستی دعا کن گندمت ارد بشود
124,khoon david too saram az asabaniat rou pa band naboodam.,ببين تو اشتباه نميکني
209,lux foroushi ghadam mizadim.,لوکس فروشي قدم مي زديم
1564,mikhaastand donyaa raa taghir dahand.,میخواستند دنیا را تغییر دهند
1771,man az khande taghriban mordam.,من از خنده تقریبا مردم
1375,"va az nazre saazmaani, chegoone mitavaanid sharaayeti khalgh konid.",و از نظر سازمانی، چگونه میتوانید شرایطی خلق کنید
1888,manam az khoda khaaste ghabool kardam va forsate khoobiyam baraaye separi kardane taaym taa baazi bood.,منم از خدا خواسته قبول کردم و فرصت خوبیم برای سپری کردن تایم تا بازی بود
1912,man ke hamash chand kiloo ezaafe kardam. cheraa sholooghesh mikoni?,من که همش چند کیلو اضافه کردم. چرا شلوغش می کنی؟
1369,hame rooz ro kaar mikardam.,همه روز رو کار می کردم
413,to panj sal inja boudi.,تو پنج سال اينجا بودي
567,man ke yek kot napooshidam.,من که يه کت نپوشيدم
252,bro vase gharar daavatash kon.,برو واسه قرار دعوتش کن
865,zang mizanam polis biayad jamat konad martike fekr kardi nim kiloo chaagh shodi maa azat mitarsim?,زنگ می زنم پلیس بیاد جمعت کنه. مرتیکه. فکر کردی نیم کیلو چاق شدی ما ازت می ترسیم؟
448,final e lig e ghahramanan asia ba ghatl eyek estghlai payan yaft.,فینال لیگ قهرمانان آسیا با قتل یک استقلالی پایان یافت
1062,chon miyangine daraamade saraane dar saal bish az 50 hezaar dolaare.,چون میانگین درآمد سرانه در سال بیش از ٥٠ هزار دلاره
1164,mitavaanim behtar kaar konim.,میتوانیم بهتر کار کنیم
569,jang e jahani e baadi payani bara ye zamin khahad bood.,جنگ جهانى بعدى پايانى براى زمين خواهد بود
1555,lenge kafsh partaab kardan va.,لنگه کفش پرتاب کردن و
1330,yaadete ghablan behet goftam.,یادته قبلا بهت گفتم
381,to dokhtar e sholugh v shmare ye do.,تو دختر شلوغ شماره دو
1356,bar in aghide ast ke eskelete hayoolaa vaaghei nemibaashad.,بر این عقیده است که اسکلت هیولا واقعی نمی باشد
56,vaghteshe be gashteh ershad bejay khodrouy van tank bedan.,وقتشه به گشت ارشاد بجای خودروی وَن، تانک بدن
1205,dastet dard nakone! faghat moonde bood soozan too cheshmam bezani.,دستت درد نکنه! فقط تو مونده بودی سوزن تو چشمم بزنی.
1266,bastegi daare chetor be aan negaah koni.,بستگی داره چطور به ان نگاه کنی
1039,migoft age talaahaamo gom nemikardam.,میگفت اگه طلاهامو گم نمیکردم
735,dorost mesl avalin gharaaremoon,درست مثل اولين قرارمون
1874,vali ghatan tasmim baa tost.,ولی قطعا تصمیم با توست
1213,ghadimaa delam mikhaast mard boodam va ezdevaaj mikardam.,قدیما دلم میخاست مرد بودم و ازدواج میکردم
490,kashki vaghti ke mirafti dastat ra gerefte boodam.,کاشکی وقتی که میرفتی دستتو گرفته بودم
160,hich kari bokonid.,هيچ کاري نمي توني بکني
1022,"dovom, pas az 21 saal mozaakeraat, maa tavaafoghnaame elzaam aavare paaris raa paziroftim.",دوم، پس از ۲۱ سال مذاکرات، ما توافقنامه الزام آور پاریس را پذیرفتیم
304,raftim biron va tu khiyaboun jashn bood.,رفتیم بیرون و تو خیابون جشن بود!
201,in sag alan goft salam.,این سگه الان گفت:سلام
597,na hanooz ham short mipooshan.,نه ، هنوزم شرت مي پوشن
562,too zendegi ye ma faghat aab va havaa ast ke tagheer mikonad.,تو زندگی ما فقط آب و هواس که تغییر میکنه
142,tou mavad ro amade kon.,تو مواد رو اماده کن
1891,va vaghti doog dar avalin rooz dar haale raanandegi be kaar bood.,و وقتی دوگ در اولین روز در حال رانندگی به کار بود
1689,oo porsid: cheraa goldaan haaye naghsh daar va goldaan haaye saade yek gheymat hastand?,او پرسید:چرا گلدانهای نقش دار و گلدانهای ساده یک قیمت هستند ؟
1025,bale aaghaa man boodam ke jasad raa peydaa kardam.,بله اقا من بودم که جسد را پیدا کردم
595,oon shanzdah saal pish bood.,اون شانزده سال پيش بود
1217,va haghe shomaast ke poole khod raa motaabegh baa arzesh haaye khish modiriyat konid.,و حق شماست که پول خود را مطابق با ارزشهای خویش مدیریت کنید
503,"vaghti arabi ra dar konkoor manfi zadam, fahmidam ke araab hich chiz natavaneste and be man biamoozand.",وقتی عربی تو کنکور منفی زدم فهمیدم ک اعراب هیچی نتونستن بهم بیاموزند
763,goftand hajm aatash dar moghaayese baa aabi ke to miaavari besyaar ziaad ast va in aab fayedei nadaarad,گفتند : حجم اتش در مقایسه با ابی که تو می اوری بسیار زیاد است ! و این اب فایده ای ندارد!
1018,darbaareye bacham persiyoosaast.,"درباره بچم ""پرسیوسا""ست "
1690,baa mohayaa saaziye fazaaye amaliyaatiye amn.,با مهیاسازی فضای عملیاتی امن
1219,sepas be ezhaare nazar bepardaazand.,سپس به اظهار نظر بپردازند
1179,"jale etelaa'aat - tasirgozaari bar, va yaa ijaade afraade moaser bar afkaare omoomi (infolooanser).",جعل اطلاعات -تأثیرگذاری بر، و یا ایجاد افراد مؤثر بر افکار عمومی (اینفلوئنسر)
884,havaaye khoob bishtar rooz haa baarooni vojood hes aaraamesh va boodan kenaar aadam haaye khoob,هوای خوب،بیشتر روزابارونی، وجود حس ارامش و بودن در کنار آدمای خوب
432,digar nimishe az agha chizi khast ke.,دیگه نمیشه از آقاچیزی خواست که
1705,"oonjaa haa, kasi ro nemibini ke too dastesh ketaab nabaashe.",اون جاها، کسی رو نمیبینی که تو دستش کتاب نباشه
733,yani agar dar firizer baashad,يعني اگه تو فريزر باشه
272,hata rouye tavajo he ma tasir migouzarad va meghdari az tamarkoz ma ra migirad.,حتی روی توجه ما تاثیر میگذارد و مقداری از قدرت مغز ما را میگیرد
365,vaghti inja kaar nemikoni.,وقتي اينجا کار نمي کني
1115,khob to chikaar mikoni?,خب ، تو چیكار می كنی؟
1363,"dorost nist, dorost nist!",!درست نیست ، درست نیست
1048,aslan va abadan shabih man nabaashe.,اصلا و ابدا شبیه من نباشه
451,va kheily ha madar shdand vaghti hanouz khdeshan bache boodand.,و خیلیها مادر شدند وقتی خودشان هنوز بچه بودند
786,in tajrobe raa daashtim,این تجربه را داشتیم
941,man ke na vali az amene shenidam,من که نه ولی از امنه شنیدم.
278,man ye jor haie asheghet shodam.,من يه جورايي عاشقت شدم
1259,"dar khaane, aanlayn, dar madrese dar gorooh haayeshaan.",در خانه، آنلاین، در مدرسه در گروهایشان
384,man bache ke boudam ashegh e gol boudam.,من بچه که بودم عاشق گل بودم
47,delam nemikhahad beram doktor mitarsam chizi bashad va baz ham dardesar ha shorou besheh.,دلمم نمیخاد برم دکتر،میترسم چیزی باشه وبازم دردسرا شروع بشه
1639,mayk khoobe faamilesh chiye?,مایک خوبه فامیلش چیه ؟
1350,man daaram miram. az haalaa dige mano nemibini. didaare maa taa rooze daadgaah.,من دارم میرم. از حالا دیگه منو نمی بینی. دیدار ما تا روز دادگاه.
377,khob adam ha ham avaz shode and.,خوب ادمها هم عوض شدن دیگه.
6,"are rast migeh, vaseh hamineh in douta rou hamash rouye in badbakhta azmayesh mikonan.",آره. راست میگه. واسه همینه این دکترا همش روی این بدبختا آزمایش می کنن.
256,man asef ra peyda kardam.,من عاصف رو پیدا کردم
1413,fekr kardi nim kiloo chaagh shodi maa azat mitarsim?,فکر کردی نیم کیلو چاق شدی ما ازت می ترسیم؟
